Account,Document Number,Assignment,Document Type,Document Date,Net Due Date,Arrears by Net Due Date,Amount in Local Currency,Text,Reference
2841276,9974626192,9974626192,DG,8/8/2025,8/8/2025,52,"-4,850.00",,PR_GR08_124_ONNR
2841276,9974626193,9974626193,DG,8/8/2025,8/8/2025,52,"-11,581.80",,PR_GR08_122_ONNR
2841276,9974626194,9974626194,DG,8/8/2025,8/8/2025,52,"-4,750.00",,PR_GR08_128_ONNR
2841276,9974626359,9974626359,DG,8/8/2025,8/8/2025,52,-717.3,,PR_GR08_135_ONNR
2841276,9974626390,9974626390,DG,8/8/2025,8/8/2025,52,"-13,606.38",,PR_GR08_132_ONNR
2841276,9974626415,9974626415,DG,8/8/2025,8/8/2025,52,"-8,730.00",,PR_GR08_130_ONNR
2841276,9974626499,9974626499,DG,8/8/2025,8/8/2025,52,"-36,459.39",,PR_GR08_139_ONNR
2841276,9974626549,9974626549,DG,8/8/2025,8/8/2025,52,"-9,700.00",,PR_GR08_140_ONNR
2841276,9974640434,,RV,8/20/2025,8/20/2025,40,"-241,507.17",,VR_GR08_58ONNR
2841276,9974640519,9974640519,DG,8/20/2025,8/21/2025,39,"-11,110.79",,PO256808/00327
2841276,9974644180,9974644180,DG,8/22/2025,8/22/2025,38,"-81,507.96",,PR_GR08_213_ONNR
2841276,9974644186,9974644186,DG,8/22/2025,8/22/2025,38,"-72,750.00",,PR_GR08_216_ONNR
2841276,9974644480,9974644480,DG,8/22/2025,8/22/2025,38,"-19,400.00",,PR_GR08_218_ONNR
2841276,9974647050,,RV,8/26/2025,8/26/2025,34,"-83,736.92",,VR_WN08_01NKNR
2841276,9974647305,9974647305,DG,8/26/2025,8/26/2025,34,"-2,095.90",,PR_WN08_24_NKNR
2841276,9974647386,9974647386,DG,8/26/2025,8/26/2025,34,"-5,073.61",,PR_WN08_27_NKNR
2841276,9974647464,9974647464,DG,8/26/2025,8/26/2025,34,"-11,640.00",,PR_WN08_54_NKNR
2841276,9974647473,9974647473,DG,8/26/2025,8/26/2025,34,"-1,212.50",,PR_WN08_13_NKNR
2841276,9974647549,9974647549,DG,8/26/2025,8/26/2025,34,"-3,928.50",,PR_WN08_54_NKNR
2841276,9974649041,9974649041,DG,8/27/2025,8/27/2025,33,"-7,275.00",,PR_WN08_12_NKNR
2841276,9974649181,9974649181,DG,8/27/2025,8/27/2025,33,"-4,365.00",,PR_WN08_04_NKNR
2841276,9974658152,9974658152,DG,9/2/2025,9/2/2025,27,"-3,395.00",,PR_GR09_01_ONNR
2841276,9974658201,9974658201,DG,9/2/2025,9/2/2025,27,"-2,315.87",,PR_GR09_03_ONNR
